stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,5.937536899999941,6.437700699999823,6.437700699999823,6.437700699999823,6.738538900000094,left,-10.0,1,1,7.418375700000524,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
1,2,8.0,13.720399799999996,14.219543700000031,14.219543700000031,14.219543700000031,14.51932910000005,left,-8.0,1,1,0.9188256000002184,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
2,1,6.0,15.0031184999998,15.503024099999948,15.503024099999948,15.503024099999948,15.802736099999947,left,-6.0,0,0,1.128356700000495,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
3,1,7.0,16.485911700000088,16.985067600000093,16.985067600000093,16.985067600000093,17.285691900000074,left,-7.0,1,1,1.0408910000005562,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
4,1,7.0,17.884118599999965,18.385014899999987,18.3687288000001,18.3687288000001,18.66788009999982,left,-7.0,0,0,0.8193183000003046,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
5,1,8.0,19.051340699999855,19.551541899999847,19.551541899999847,19.551541899999847,19.850815499999953,left,-8.0,1,1,1.5089723999999478,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
6,1,8.0,20.917751699999826,21.417522100000042,21.417522100000042,21.417522100000042,21.71731839999984,left,-8.0,0,0,1.275412200000119,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
7,1,9.0,22.54951899999969,23.050076799999715,23.050076799999715,23.050076799999715,23.34979659999999,right,9.0,0,0,2.2374713000003794,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
8,1,10.0,25.14992910000001,25.64980239999977,25.64980239999977,25.64980239999977,25.949614399999973,right,10.0,1,1,1.2123889000004056,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
9,1,10.0,26.732435099999748,27.232122099999742,27.232122099999742,27.232122099999742,27.53174880000006,left,-10.0,1,1,0.8974776000004567,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
