3.9411 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002B7292E9A30>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002B7292E99D0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002B7292E9700>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002B72FF023D0>, multiSample=False, name='window1', numSamples=2, pos=(140, 60), screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.9413 	EXP 	window1: mouseVisible = True
3.9414 	EXP 	window1: backgroundImage = ''
3.9414 	EXP 	window1: backgroundFit = 'none'
3.9414 	EXP 	window1: mouseVisible = True
3.9415 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3.9415 	EXP 	window1: recordFrameIntervals = False
4.1072 	EXP 	window1: recordFrameIntervals = True
4.2889 	EXP 	Screen (0) actual frame rate measured at 60.53Hz
4.2889 	EXP 	window1: recordFrameIntervals = False
4.3321 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
5.9193 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
5.9258 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
5.9258 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
5.9278 	DATA 	Keypress: right
5.9375 	EXP 	grating: ori = -10.0
5.9375 	EXP 	fixation: autoDraw = True
6.4377 	EXP 	fixation: autoDraw = False
6.4377 	EXP 	grating: autoDraw = True
6.4377 	EXP 	grating: tex = 'sin'
6.7385 	EXP 	grating: autoDraw = False
11.4902 	DATA 	Keypress: right
13.7076 	DATA 	Keypress: left
13.7204 	EXP 	fixation: autoDraw = False
13.7204 	EXP 	grating: autoDraw = False
13.7204 	EXP 	grating: ori = -8.0
13.7204 	EXP 	fixation: autoDraw = True
14.2195 	EXP 	fixation: autoDraw = False
14.2195 	EXP 	grating: autoDraw = True
14.5193 	EXP 	grating: autoDraw = False
14.9904 	DATA 	Keypress: left
15.0031 	EXP 	fixation: autoDraw = False
15.0031 	EXP 	grating: autoDraw = False
15.0031 	EXP 	grating: ori = -6.0
15.0031 	EXP 	fixation: autoDraw = True
15.5030 	EXP 	fixation: autoDraw = False
15.5030 	EXP 	grating: autoDraw = True
15.8027 	EXP 	grating: autoDraw = False
16.4739 	DATA 	Keypress: right
16.4859 	EXP 	fixation: autoDraw = False
16.4859 	EXP 	grating: autoDraw = False
16.4859 	EXP 	grating: ori = -7.0
16.4859 	EXP 	fixation: autoDraw = True
16.9851 	EXP 	fixation: autoDraw = False
16.9851 	EXP 	grating: autoDraw = True
17.2857 	EXP 	grating: autoDraw = False
17.8696 	DATA 	Keypress: left
17.8841 	EXP 	fixation: autoDraw = False
17.8841 	EXP 	grating: autoDraw = False
17.8841 	EXP 	grating: ori = -7.0
17.8841 	EXP 	fixation: autoDraw = True
18.3687 	EXP 	grating: autoDraw = True
18.3850 	EXP 	fixation: autoDraw = False
18.6679 	EXP 	grating: autoDraw = False
19.0388 	DATA 	Keypress: right
19.0513 	EXP 	fixation: autoDraw = False
19.0513 	EXP 	grating: autoDraw = False
19.0513 	EXP 	grating: ori = -8.0
19.0513 	EXP 	fixation: autoDraw = True
19.5515 	EXP 	fixation: autoDraw = False
19.5515 	EXP 	grating: autoDraw = True
19.8508 	EXP 	grating: autoDraw = False
20.9057 	DATA 	Keypress: left
20.9178 	EXP 	fixation: autoDraw = False
20.9178 	EXP 	grating: autoDraw = False
20.9178 	EXP 	grating: ori = -8.0
20.9178 	EXP 	fixation: autoDraw = True
21.4175 	EXP 	fixation: autoDraw = False
21.4175 	EXP 	grating: autoDraw = True
21.7173 	EXP 	grating: autoDraw = False
22.5374 	DATA 	Keypress: right
22.5495 	EXP 	fixation: autoDraw = False
22.5495 	EXP 	grating: autoDraw = False
